"diag_code","diag_desc"
"A6306","Penile (venereal) warts"
"G8225","Paraplegia, unspecified, incomplete, acute"
"R58","Haemorrhage, not elsewhere classified"
"R278","Other and unspecified lack of coordination"
"P929","Feeding problem of newborn, unspecified"
"D730","Hyposplenism"
"E1134","Type 2 diabetes mellitus with other retinopathy"
"W40","Explosion of other materials"
"S925","Fracture of other toe"
"M2586","Other specified joint disorders, lower leg"
"R443","Hallucinations, unspecified"
"S6084","Superficial foreign body (splinter) of wrist and hand"
"G4731","Central sleep apnoea syndrome"
"Q874","Marfan's syndrome"
"Z854","Personal history of malignant neoplasm of genital organs"
"W808","Inhalation and ingestion of other objects causing obstruction of respiratory tract, other specified object"
"M348","Other forms of systemic sclerosis"
"M80783","Squamous cell carcinoma with horn formation"
"W250","Contact with glass window"
"S410","Open wound of shoulder"
"E880","Disorders of plasma-protein metabolism, not elsewhere classified"
"A499","Bacterial infection, unspecified"
"S2244","Multiple rib fractures involving four or more ribs"
"O985","Other viral diseases complicating pregnancy, childbirth and the puerperium"
"S800","Contusion of knee"
"K510","Ulcerative (chronic) pancolitis"
"M2577","Osteophyte, ankle and foot"
"M7138","Other bursal cyst, other site"
"G438","Other migraine"
"G258","Other specified extrapyramidal and movement disorders"
"S4308","Dislocation of other part of shoulder"
"S222","Fracture of sternum"
"E789","Disorder of lipoprotein metabolism, unspecified"
"S8081","Abrasion of lower leg"
"X41","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"
"A498","Other bacterial infections of unspecified site"
"R202","Paraesthesia of skin"
"B081","Molluscum contagiosum"
"M0697","Rheumatoid arthritis, unspecified, ankle and foot"
"I698","Sequelae of other and unspecified cerebrovascular diseases"
"G934","Encephalopathy, unspecified"
"Q387","Pharyngeal pouch"
"Z514","Preparatory care for subsequent treatment, not elsewhere classified"
"P961","Neonatal withdrawal symptoms from maternal use of drugs of addiction"
"N600","Solitary cyst of breast"
"F120","Mental and behavioural disorders due to use of cannabinoids, acute intoxication"
"Y658","Other specified misadventures during surgical and medical care"
"D751","Secondary polycythaemia"
"S7181","Open wound (of any part of hip and thigh) communicating with a fracture"
"R208","Other and unspecified disturbances of skin sensation"
"Z951","Presence of aortocoronary bypass graft"
"Z931","Gastrostomy status"
"O694","Labour and delivery complicated by vasa praevia"
"F124","Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium"
"S142","Injury of nerve root of cervical spine"
"R068","Other and unspecified abnormalities of breathing"
"P700","Syndrome of infant of mother with gestational diabetes"
"O411","Infection of amniotic sac and membranes"
"Y411","Antimycobacterial drugs causing adverse effects in therapeutic use"
"N028","Recurrent and persistent haematuria, other"
"Z958","Presence of other cardiac and vascular implants and grafts"
"J398","Other specified diseases of upper respiratory tract"
"M95300","Meningioma NOS"
"T8688","Failure and rejection of other transplanted organs and tissues"
"M1398","Arthritis, unspecified, other site"
"C788","Secondary malignant neoplasm of other and unspecified digestive organs"
"B86","Scabies"
"T801","Vascular complications following infusion, transfusion and therapeutic injection"
"F452","Hypochondriacal disorder"
"Z915","Personal history of self-harm"
"N871","Moderate cervical dysplasia"
"Y834","Other reconstructive surgery"
"R008","Other and unspecified abnormalities of heart beat"
"S609","Superficial injury of wrist and hand, unspecified"
"I441","Atrioventricular block, second degree"
"Y833","Surgical operation with formation of external stoma"
"O993","Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium"
"R632","Polyphagia"
"K862","Cyst of pancreas"
"N052","Unspecified nephritic syndrome, diffuse membranous glomerulonephritis"
"M2578","Osteophyte, other site"
"Z7518","Person awaiting admission to other health care facility"
"N72","Inflammatory disease of cervix uteri"
"M0004","Staphylococcal arthritis and polyarthritis, hand"
"K838","Other specified diseases of biliary tract"
"H538","Other visual disturbances"
"I080","Disorders of both mitral and aortic valves"
"O9201","Retracted nipple associated with childbirth, with mention of attachment difficulty"
"N908","Other specified noninflammatory disorders of vulva and perineum"
"R931","Abnormal findings on diagnostic imaging of heart and coronary circulation"
"T915","Sequelae of injury of intra-abdominal and pelvic organs"
"A310","Pulmonary mycobacterial infection"
"M7911","Myalgia, shoulder region"
"M97613","Waldenstrom macroglobulinaemia"
"M2405","Loose body in joint, pelvic region and thigh"
"R578","Other shock"
"M206","Acquired deformity of toe(s), unspecified"
"J158","Other bacterial pneumonia"
"O640","Labour and delivery affected by incomplete rotation of fetal head"
"Z768","Persons encountering health services in other specified circumstances"
"K523","Indeterminate colitis"
"S701","Contusion of thigh"
"B238","HIV disease resulting in other specified conditions"
"M84070","Syringoma NOS"
"M94113","Gemistocytic astrocytoma"
"K514","Inflammatory polyps"
"C774","Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes"
"W459","Foreign body or object entering through skin"
"L929","Granulomatous disorder of skin and subcutaneous tissue, unspecified"
"Y9242","Street and highway, cycleway"
"R681","Nonspecific symptoms peculiar to infancy"
"R522","Other chronic pain"
"M7986","Other specified soft tissue disorders, lower leg"
"L120","Bullous pemphigoid"
"Y9207","Indoor living areas, not elsewhere classified"
"Z0667","Resistance to multiple antibiotics"
"M91200","Haemangioma NOS"
"P819","Disturbance of temperature regulation of newborn, unspecified"
"K3182","Angiodysplasia of stomach and duodenum with haemorrhage"
"Y482","Other and unspecified general anaesthetics causing adverse effects in therapeutic use"
"M6591","Unspecified synovitis and tenosynovitis, shoulder region"
"M91210","Cavernous haemangioma"
"Q938","Other deletions from the autosomes"
"D227","Melanocytic naevi of lower limb, including hip"
"Q359","Cleft palate, unspecified"
"T1105","Contusion of upper limb, level unspecified"
"H744","Polyp of middle ear"
"V182","Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist, nontraffic accident"
"M80216","Carcinoma, anaplastic NOS, metastatic"
"N991","Postprocedural urethral stricture"
"S9081","Abrasion of ankle and foot"
"N302","Other chronic cystitis"
"M92800","Odontoma NOS"
"O9903","Anaemia complicating childbirth and the puerperium"
"L405","Arthropathic psoriasis (M07.0-* - M07.3-*, M09.0-*)"
"Q2383","Congenital bicuspid aortic valve"
"W44","Foreign body entering into or through eye or natural orifice"
"S098","Other specified injuries of head"
"D034","Melanoma in situ of scalp and neck"
"R948","Abnormal results of function studies of other organs and systems"
"P925","Neonatal difficulty in feeding at breast"
"M1002","Idiopathic gout, upper arm"
"N852","Hypertrophy of uterus"
"I7024","Atherosclerosis of arteries of extremities with gangrene"
"N603","Fibrosclerosis of breast"
"Y9239","Sports and athletics area, unspecified"
"B99","Other and unspecified infectious diseases"
"O16","Unspecified maternal hypertension"
"E833","Disorders of phosphorus metabolism and phosphatases"
"O40","Polyhydramnios"
"Z391","Care and examination of lactating mother"
"S3080","Other superficial injuries of abdomen, lower back and pelvis, unspecified"
"S058","Other injuries of eye and orbit"
"E1140","Type 2 diabetes mellitus with unspecified neuropathy"
"M753","Calcific tendinitis of shoulder"
"Y409","Systemic antibiotic, unspecified causing adverse effects in therapeutic use"
"X60","Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"
"M2349","Loose body, unspecified ligament or unspecified meniscus"
"O440","Placenta praevia specified as without haemorrhage"
"Y9200","Driveway to home"
"K640","First degree haemorrhoids"
"E1131","Type 2 diabetes mellitus with background retinopathy"
"L0302","Cellulitis of toe"
"F220","Delusional disorder"
"Y427","Androgens and anabolic congeners causing adverse effects in therapeutic use"
"Y9259","Unspecified trade and service area"
"N134","Hydroureter"
"Y434","Immunosuppressive agents causing adverse effects in therapeutic use"
"I2510","Atherosclerotic heart disease, of unspecified vessel"
"D469","Myelodysplastic syndrome, unspecified"
"N394","Other specified urinary incontinence"
"O994","Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium"
"W073","Fall involving stool"
"D644","Congenital dyserythropoietic anaemia"
"O235","Infections of the genital tract in pregnancy"
"D033","Melanoma in situ of other and unspecified parts of face"
"T934","Sequelae of injury of nerve of lower limb"
"E1042","Type 1 diabetes mellitus with diabetic polyneuropathy"
"T002","Superficial injuries involving multiple regions of upper limb(s)"
"K623","Rectal prolapse"
"M82720","Pituitary adenoma NOS"
"Y927","Farm"
"W256","Contact with drinking glass and glass containers"
"Z8710","Personal history of unspecified digestive disease"
"I831","Varicose veins of lower extremities with inflammation"
"C7982","Secondary malignant neoplasm of genital organs"
"D045","Carcinoma in situ of skin of trunk"
"O094","Duration of pregnancy 26-33 completed weeks"
"C796","Secondary malignant neoplasm of ovary"
"G319","Degenerative disease of nervous system, unspecified"
